dbo.k80_tab.idnk06_k80  ->  dbo.k06_tab.idnk06_k06  [idnk06_k80, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k80_tab.idnk79_k80  ->  dbo.k79_tab.idnk79_k79  [idnk79_k80, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k81_tab.idnk71_k81  ->  dbo.k71_tab.idnk71_k71  [idnk71_k81, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k81_tab.idnk80_k81  ->  dbo.k80_tab.idnk80_k80  [idnk80_k81, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k81_tab.inrvws_k81  ->  dbo.kap_tab.idnkap_kap  [inrvws_k81, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k83_tab.idnk79_k83  ->  dbo.k79_tab.idnk79_k79  [idnk79_k83, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k83_tab.idnk82_k83  ->  dbo.k82_tab.idnk82_k82  [idnk82_k83, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k84_tab.idnk71_k84  ->  dbo.k71_tab.idnk71_k71  [idnk71_k84, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k84_tab.idnk79_k84  ->  dbo.k79_tab.idnk79_k79  [idnk79_k84, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k85_tab.idnk81_k85  ->  dbo.k81_tab.idnk81_k81  [idnk81_k85, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k85_tab.idnk84_k85  ->  dbo.k84_tab.idnk84_k84  [idnk84_k85, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k86_tab.idnk83_k86  ->  dbo.k83_tab.idnk83_k83  [idnk83_k86, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k86_tab.idnk85_k86  ->  dbo.k85_tab.idnk85_k85  [idnk85_k86, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k86_tab.idnk87_k86  ->  dbo.k87_tab.idnk87_k87  [idnk87_k86, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k89_tab.buyk14_k89  ->  dbo.k14_tab.idnk14_k14  [buyk14_k89, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k89_tab.cnfirm_k89  ->  dbo.kap_tab.idnkap_kap  [cnfirm_k89, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k89_tab.faster_k89  ->  dbo.kap_tab.idnkap_kap  [faster_k89, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k89_tab.fcharg_k89  ->  dbo.kap_tab.idnkap_kap  [fcharg_k89, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k89_tab.idnk06_k89  ->  dbo.k06_tab.idnk06_k06  [idnk06_k89, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k89_tab.idnk39_k89  ->  dbo.k39_tab.idnk39_k39  [idnk39_k89, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k89_tab.shorts_k89  ->  dbo.kap_tab.idnkap_kap  [shorts_k89, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k89_tab.shpvia_k89  ->  dbo.kap_tab.idnkap_kap  [shpvia_k89, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k90_tab.idnk71_k90  ->  dbo.k71_tab.idnk71_k71  [idnk71_k90, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k90_tab.idnk89_k90  ->  dbo.k89_tab.idnk89_k89  [idnk89_k90, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k90_tab.invk96_k90  ->  dbo.k96_tab.idnk96_k96  [invk96_k90, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k91_tab.idnk90_k91  ->  dbo.k90_tab.idnk90_k90  [idnk90_k91, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k92_tab.idnk71_k92  ->  dbo.k71_tab.idnk71_k71  [idnk71_k92, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.k92_tab.idnk91_k92  ->  dbo.k91_tab.idnk91_k91  [idnk91_k92, ondelete=NO_ACTION, onupdate=NO_ACTION]
